point_x,point_y,avg_year,agbref,nico_mean,nico_median,nico_p90,cci_mean,cci_median,cci_p90,nico_cov,cci_cov,common_cov,nico_mean_common,cci_mean_common
74.6500,14.8500,2017,178.7281,139.5720,135.1997,226.4464,88.7011,87.0000,149.2000,1.0000,1.0000,1.0000,139.5670,88.6932
74.7500,14.8500,2017,254.1848,137.9936,134.3818,227.0743,82.6456,80.0000,147.0000,1.0000,1.0000,1.0000,137.9642,82.5541
74.5500,14.9500,2017,224.3975,143.3906,144.1714,226.8492,94.9957,91.0000,177.0000,1.0000,1.0000,1.0000,143.3661,95.2157
74.6500,14.9500,2017,180.5715,106.5817,98.7886,186.5178,82.1726,78.0000,151.0000,1.0000,1.0000,1.0000,106.5799,82.2274
74.7500,14.9500,2017,104.2133,94.6278,98.9845,146.6161,77.7373,79.0000,146.0000,1.0000,1.0000,1.0000,94.6110,77.5112
74.5500,15.0500,2017,255.4440,139.0344,133.5659,216.9081,102.2854,96.0000,196.0000,1.0000,1.0000,1.0000,139.0052,102.3309
74.6500,15.0500,2017,204.3356,112.2636,110.2243,179.8934,83.8591,69.0000,185.0000,1.0000,1.0000,1.0000,112.2479,84.0620
74.7500,15.0500,2017,198.4469,74.0242,71.4103,117.9473,57.9550,43.0000,132.0000,1.0000,1.0000,1.0000,74.0019,57.7146
74.8500,15.0500,2017,123.8784,44.8666,47.1729,73.6639,29.8124,21.0000,75.0000,1.0000,1.0000,1.0000,44.8672,29.5345
74.6500,15.1500,2017,144.8642,81.5346,77.6696,133.1330,75.4915,71.0000,140.0000,1.0000,1.0000,1.0000,81.5370,75.4480
74.7500,15.1500,2017,105.4883,50.9133,54.6433,80.8569,29.2984,29.0000,50.0000,1.0000,1.0000,1.0000,50.9074,29.3512
-66.9500,17.9500,2018,0.4504,4.7113,2.6875,9.5559,10.9170,0.0000,40.0000,1.0000,1.0000,1.0000,4.6833,10.9619
-66.8500,17.9500,2018,2.5451,6.6951,3.0464,14.7742,19.4027,0.0000,64.0000,1.0000,1.0000,1.0000,6.6707,19.2562
-66.7500,17.9500,2018,0.0786,3.2311,2.7917,4.6780,2.0082,0.0000,0.0000,1.0000,1.0000,1.0000,3.2918,2.0246
-67.1500,18.0500,2018,15.1324,14.3934,4.4010,40.9151,21.4604,0.0000,72.0000,1.0000,1.0000,1.0000,14.5306,21.5132
-67.0500,18.0500,2018,10.1827,19.3538,3.6837,63.1356,27.8272,2.0000,88.0000,1.0000,1.0000,1.0000,19.2914,27.6174
-66.9500,18.0500,2018,1.3372,17.3759,4.4043,54.6919,32.7498,20.0000,88.0000,1.0000,1.0000,1.0000,17.4860,32.9163
-66.8500,18.0500,2018,10.2889,39.4840,19.5392,108.6703,54.4467,52.0000,114.0000,1.0000,1.0000,1.0000,39.8500,54.4175
-66.7500,18.0500,2018,1.7228,61.4578,30.8873,179.5998,64.6803,62.0000,126.0000,1.0000,1.0000,1.0000,61.8017,64.8715
-67.1500,18.1500,2018,1.2535,22.1300,6.9402,69.3217,30.9442,0.0000,110.0000,1.0000,1.0000,1.0000,22.1960,30.9088
-67.0500,18.1500,2018,7.2437,115.3765,113.0202,224.6664,102.5628,113.0000,147.0000,1.0000,1.0000,1.0000,114.7943,102.4637
77.3500,21.8500,2017,11.7123,41.3656,39.9165,74.1324,22.7873,12.0000,62.0000,1.0000,1.0000,1.0000,41.3312,22.7698
77.4500,21.8500,2017,23.0072,51.0226,51.3821,85.8403,26.9131,21.0000,63.0000,1.0000,1.0000,1.0000,50.7884,26.7120
77.3500,21.9500,2017,5.0548,33.6566,27.3290,67.3828,12.9527,0.0000,45.0000,1.0000,1.0000,1.0000,33.6654,12.8250
77.4500,21.9500,2017,11.4360,47.9531,48.5163,76.9444,25.0508,17.0000,63.0000,1.0000,1.0000,1.0000,47.8295,24.9341
78.1500,22.5500,2019,15.6174,60.0051,61.1946,102.3197,26.6425,15.0000,71.0000,1.0000,1.0000,1.0000,59.9239,26.6546
81.6500,22.5500,2017,135.2989,100.0752,100.3186,155.4512,76.0961,75.0000,138.0000,1.0000,1.0000,1.0000,99.9939,76.2494
81.7500,22.5500,2017,143.9988,87.8566,84.4317,123.5402,61.3354,58.0000,101.0000,1.0000,1.0000,1.0000,87.8961,61.4686
81.6500,22.6500,2017,133.8138,83.3704,80.3550,152.4617,58.6242,52.0000,130.0000,1.0000,1.0000,1.0000,83.2827,59.0484
81.7500,22.6500,2017,100.7559,72.8386,68.3736,126.9438,47.9475,35.0000,116.0000,1.0000,1.0000,1.0000,72.8170,48.1538
79.1500,23.1500,2019,12.3511,47.3586,46.8521,71.6027,9.8026,9.0000,23.0000,1.0000,1.0000,1.0000,47.1281,9.8069
81.0500,23.6500,2018,33.5393,49.7051,47.9574,78.0042,19.5878,14.0000,49.0000,1.0000,1.0000,1.0000,49.7046,19.5058
80.0500,24.6500,2018,6.9943,27.9542,26.3336,47.7479,14.2205,10.0000,38.0000,1.0000,1.0000,1.0000,27.9179,14.2122
85.9500,27.2500,2022,134.3421,164.4060,177.5834,268.0216,70.6946,71.0000,132.0000,1.0000,1.0000,1.0000,164.4062,70.9799
86.1500,27.3500,2022,76.3899,113.9689,102.7277,199.3705,22.6887,15.0000,60.0000,1.0000,1.0000,1.0000,113.9390,22.8087
85.5500,27.5500,2022,135.2083,139.5137,138.3538,242.5696,50.8991,50.0000,95.0000,1.0000,1.0000,1.0000,139.5789,50.7427
85.5500,27.6500,2022,115.5459,109.1158,98.7361,199.4493,45.6636,39.0000,100.0000,1.0000,1.0000,1.0000,109.0915,45.3889
85.7500,27.6500,2022,64.7473,127.3837,118.7446,222.8263,41.8913,36.0000,91.0000,1.0000,1.0000,1.0000,127.5110,41.9409
85.9500,27.6500,2022,119.8621,143.6112,137.5354,249.1024,44.9772,40.0000,92.0000,1.0000,1.0000,1.0000,143.7999,44.9853
86.0500,27.6500,2022,52.2787,122.0683,107.2749,229.7511,30.5994,22.0000,74.0000,1.0000,1.0000,1.0000,122.0727,30.6004
84.6500,27.7500,2022,189.0775,180.2318,183.2885,273.2488,81.2102,78.0000,142.0000,1.0000,1.0000,1.0000,180.5042,81.5749
84.8500,27.7500,2022,167.5552,155.2674,153.3627,258.8259,63.0887,48.0000,159.0000,1.0000,1.0000,1.0000,155.3608,63.3237
85.7500,27.7500,2022,54.0204,125.0975,115.2715,218.9459,41.7264,38.0000,81.0000,1.0000,1.0000,1.0000,125.0014,41.7351
85.9500,27.7500,2022,98.3528,154.7241,149.6261,269.8961,43.9414,37.0000,93.0000,1.0000,1.0000,1.0000,154.5363,43.9194
83.8500,27.8500,2022,218.5153,101.2207,86.6252,203.4197,60.6767,39.5000,171.0000,1.0000,1.0000,1.0000,101.7716,61.6646
83.7500,27.9500,2022,163.6774,116.6511,111.4893,201.5079,57.5600,45.0000,139.0000,1.0000,1.0000,1.0000,116.3308,57.6874
84.6500,27.9500,2022,72.5941,114.0518,103.0330,202.6169,45.4044,28.0000,132.9000,1.0000,1.0000,1.0000,114.4054,45.4331
-81.4500,28.0500,2019,27.1977,35.0735,14.0531,99.7150,49.0666,24.0000,150.0000,1.0000,1.0000,1.0000,35.0010,49.4707
84.2500,28.2500,2022,118.9097,185.1481,190.5627,296.7076,78.4808,74.0000,136.0000,1.0000,1.0000,1.0000,184.5853,78.2570
84.3500,28.2500,2022,119.0700,163.1788,167.6478,275.2774,59.3155,53.0000,114.0000,1.0000,1.0000,1.0000,164.0490,59.6317
84.5500,28.2500,2022,83.8572,183.6883,187.7891,286.0533,74.4924,79.0000,123.0000,1.0000,1.0000,1.0000,183.6184,74.1499
83.5500,28.3500,2022,95.9559,128.0005,118.7108,230.5788,47.1962,39.0000,102.0000,1.0000,1.0000,1.0000,128.8667,46.8811
83.3500,28.4500,2022,42.9420,164.6539,165.2138,272.1487,47.3080,36.0000,107.0000,1.0000,1.0000,1.0000,164.9313,47.3421
-82.0500,29.5500,2019,35.3107,66.1293,49.1390,154.8497,66.5873,57.0000,159.0000,1.0000,1.0000,1.0000,66.1383,66.1576
-84.5500,31.1500,2019,6.0202,22.0502,8.6963,63.3342,19.9183,0.0000,82.0000,1.0000,1.0000,1.0000,22.1635,20.1107
-84.3500,31.1500,2018,16.3127,38.5148,13.5678,111.1026,28.1412,0.0000,100.0000,1.0000,1.0000,1.0000,38.5274,28.3655
-84.5500,31.2500,2019,19.1766,28.5521,12.2156,83.1790,30.8534,0.0000,112.0000,1.0000,1.0000,1.0000,28.5288,30.9592
-84.3500,31.2500,2019,19.1053,40.5386,17.5001,112.1912,25.9821,0.0000,89.0000,1.0000,1.0000,1.0000,40.0887,25.6796
-110.9500,31.7500,2017,0.1221,16.1787,5.3031,43.6829,7.0711,4.0000,19.0000,1.0000,1.0000,1.0000,16.1780,7.0053
-110.8500,31.7500,2018,6.7423,44.8586,30.0523,108.7483,18.7256,15.0000,44.2000,1.0000,1.0000,1.0000,44.9081,18.7177
-110.7500,31.7500,2018,0.1634,17.3557,13.8164,35.6947,4.2613,1.0000,12.0000,1.0000,1.0000,1.0000,17.3581,4.2828
-110.9500,31.8500,2017,0.1619,10.1315,7.2062,21.7380,2.1347,0.0000,7.0000,1.0000,1.0000,1.0000,10.1324,2.1226
-110.8500,31.8500,2017,0.0000,5.2838,5.0906,8.2172,0.5662,0.0000,1.0000,1.0000,1.0000,1.0000,5.2826,0.5402
-110.7500,31.8500,2019,0.0104,17.8444,14.5182,32.5562,11.4160,7.0000,31.0000,1.0000,1.0000,1.0000,17.8185,11.4728
